,Year,State,Data Value
29,2013,West Virginia,1416293
30,2013,Wisconsin,4050643
0,2014,Arizona,6399564
1,2014,California,41174437
2,2014,Colorado,5263167
3,2014,Connecticut,2754692
4,2014,Delaware,886247
5,2014,Florida,19359141
6,2014,Iowa,2753592
7,2014,Kansas,2704330
8,2014,Kentucky,4645995
9,2014,Louisiana,4932485
10,2014,Maine,669168
11,2014,Maryland,5288267
12,2014,Massachusetts,8930205
13,2014,Michigan,7557005
14,2014,Minnesota,4332607
15,2014,Missouri,5351860
16,2014,Nebraska,1592119
17,2014,New Hampshire,867238
18,2014,New Jersey,9053727
19,2014,New Mexico,1874740
20,2014,New York,17790348
21,2014,North Carolina,8332506
22,2014,Oregon,3907292
23,2014,Pennsylvania,10598147
24,2014,Rhode Island,1034882
25,2014,South Carolina,3672480
26,2014,Utah,4469749
27,2014,Vermont,449172
28,2014,Washington,6001501
29,2014,West Virginia,1483875
30,2014,Wisconsin,4063134
