,Year,State,Annual Mean,Data Value,Radium
109,2007,Connecticut,1.3364187866927593,,1.070666667
110,2007,Delaware,2.060534759358289,,3.145
111,2007,Florida,0.5895970241785493,,0.756879433
112,2007,Iowa,1.2265088105726873,,2.336554054
113,2007,Kansas,2.6236749116607774,,1.290210526
114,2007,Kentucky,0.857983870967742,,0.799375
115,2007,Maine,0.5536021505376344,,1.297222222
116,2007,Maryland,1.2079577464788733,,0.758809524
117,2007,Minnesota,0.6525,,1.648481013
118,2007,Missouri,0.2362478184991274,,1.649878641
119,2007,New Hampshire,0.5021636363636364,,0.474416244
120,2007,New Jersey,1.448,,2.024324324
121,2007,New Mexico,1.1583363802559414,,0.578199052
122,2007,New York,0.9285074626865671,,1.23827907
123,2007,Oregon,0.9743191196698763,,0.851147541
124,2007,Rhode Island,0.9327272727272727,,0.98
