Year,State,Poverty,Cases,Annual_income,Demograph,COPD
2003,New Mexico,17.7,1988.0,35091,1877574,28995.966101694914
2003,New York,14.3,45204.0,44139,19175939,28995.966101694914
2003,North Carolina,13.4,12082.0,39438,8422501,28995.966101694914
2003,North Dakota,10.5,8965.707259953162,38223,638817,28995.966101694914
2003,Ohio,10.7,8965.707259953162,43119,11434788,28995.966101694914
2003,Oklahoma,14.7,8965.707259953162,35634,3504892,28995.966101694914
2003,Oregon,12.0,2471.0,42593,3547376,28995.966101694914
2003,Pennsylvania,10.6,25110.0,42952,12374658,28995.966101694914
2003,Rhode Island,11.3,8965.707259953162,45006,1071342,28995.966101694914
2003,South Carolina,13.8,7613.0,38003,4150297,21487.0
2003,South Dakota,12.3,8965.707259953162,38008,763729,28995.966101694914
2003,Tennessee,13.5,8415.0,37925,5847812,28995.966101694914
2003,Texas,16.2,8965.707259953162,39967,22030931,28995.966101694914
2003,Utah,10.0,1570.0,46709,2360137,3852.0
2003,Vermont,9.2,440.0,42649,617858,2737.0
2003,Virginia,10.0,8965.707259953162,50028,7366977,28995.966101694914
2003,Washington,11.0,4865.0,48185,6104115,28995.966101694914
2003,West Virginia,16.3,8965.707259953162,32967,1812295,28995.966101694914
2003,Wisconsin,8.9,6119.0,46538,5479203,16118.0
2003,Wyoming,10.8,8965.707259953162,41554,503453,28995.966101694914
2004,Alabama,16.1,8965.707259953162,37062,4530729,28995.966101694914
2004,Alaska,10.0,8965.707259953162,52141,659286,28995.966101694914
2004,Arizona,14.6,8965.707259953162,43696,5652404,28995.966101694914
2004,Arkansas,15.6,8965.707259953162,35295,2749686,28995.966101694914
2004,California,13.2,34447.0,49894,35574576,28995.966101694914
2004,Colorado,10.2,4344.0,50105,4575013,28995.966101694914
2004,Connecticut,9.1,4390.0,56617,3496094,7854.0
2004,Delaware,9.6,8965.707259953162,49545,830803,28995.966101694914
2004,District of Columbia,18.3,8965.707259953162,46211,567754,28995.966101694914
2004,Florida,11.9,27771.0,40900,17415318,28995.966101694914
2004,Georgia,13.7,8965.707259953162,42679,8769252,28995.966101694914
2004,Hawaii,9.0,8965.707259953162,51359,1273569,28995.966101694914
2004,Idaho,11.5,8965.707259953162,40509,1391802,28995.966101694914
2004,Illinois,11.9,8965.707259953162,47711,12589773,28995.966101694914
2004,Indiana,11.1,8965.707259953162,43217,6233007,28995.966101694914
2004,Iowa,10.5,2150.0,42865,2953635,36498.0
2004,Kansas,11.1,3054.0,41664,2734373,28995.966101694914
2004,Kentucky,16.3,7202.0,37046,4146101,28995.966101694914
2004,Louisiana,19.2,7687.0,35216,4552238,28995.966101694914
2004,Maine,11.5,1136.0,41287,1313688,10769.0
2004,Maryland,9.2,8357.0,57019,5546935,28995.966101694914
2004,Massachusetts,9.9,8855.0,53657,6412281,26543.0
2004,Michigan,12.5,16370.0,44409,10055315,28995.966101694914
2004,Minnesota,8.1,4476.0,51202,5087713,28995.966101694914
2004,Mississippi,19.3,8965.707259953162,34278,2889010,28995.966101694914
2004,Missouri,13.0,7665.0,40885,5747741,29210.0
2004,Montana,13.6,8965.707259953162,35574,930009,28995.966101694914
2004,Nebraska,10.0,8965.707259953162,42166,1749370,28995.966101694914
2004,Nevada,11.1,8965.707259953162,47231,2346222,28995.966101694914
2004,New Hampshire,6.6,1066.0,53377,1290121,6621.0
2004,New Jersey,8.4,15405.0,57338,8634561,15425.0
