Year,State,Poverty,Cases,Annual_income,Demograph,CO,O3,PM2.5
2005,Connecticut,8.3,4608,60840,3506956,0.775,0.0481875,11.05625
2005,Florida,12.8,27754,42437,17842038,0.486363636,0.046800847,8.839534884
2005,Iowa,10.8,2409,43610,2964454,0.280416667,0.045519231,10.23529412
2005,Kansas,11.7,3239,42861,2745299,0.45,0.051925,10.31875
2005,Kentucky,16.9,7710,37377,4182742,0.5,0.050428571,14.17350427
2005,Louisiana,20.2,6765,36547,4576628,0.6,0.044560345,14.24788732
2005,Maine,12.3,1145,42648,1318787,0.2,0.0400125,8.336535806
2005,Maryland,8.3,9145,61546,5592379,0.35,0.050680556,13.935
2005,Massachusetts,10.3,9062,57176,6403290,0.29,0.046890625,10.60909091
2005,Michigan,13.1,17162,46072,10051137,0.255555556,0.04915,10.85277778
2005,Minnesota,9.2,4484,52048,5119598,0.185714286,0.04453125,7.679166667
2005,Missouri,13.6,7979,41946,5790300,0.35,0.052190476,12.34285714
2005,New Hampshire,7.6,1025,56557,1298492,0.5,0.042964286,8.191666667
2005,New Jersey,8.7,15319,61694,8651974,0.568181818,0.049266667,12.03636364
2005,New Mexico,18.4,1963,37603,1932274,0.265,0.046647727,6.113333333
2005,New York,13.9,39004,49365,19132610,0.427272727,0.046159722,11.41071429
2005,North Carolina,14.9,11170,40781,8705407,0.494444444,0.05261413,12.74464286
2005,Oregon,14.1,2445,43065,3613202,0.722727273,0.035444444,6.561111111
2005,Pennsylvania,11.9,23759,44545,12449990,0.255769231,0.050019231,13.75510204
2005,Rhode Island,11.9,1531,50415,1067916,0.5,0.04625,9.4
2005,South Carolina,15.6,6658,39477,4270150,0.22,0.050535714,12.356
2005,Tennessee,15.6,8657,38947,5991057,0.5,0.053490741,13.07435897
2005,Utah,10.5,1521,48155,2457719,0.585714286,0.055396552,6.969230769
2005,Vermont,10.4,419,45695,621215,0.4,0.049125,7.871428571
2005,Washington,12,5158,49372,6257305,0.795,0.036191176,8.716666667
2005,Wisconsin,10.2,5599,47141,5546166,0.325,0.046235714,9.962068966
2006,Arizona,14.2,6712,47315,6029141,0.423809524,0.0505,8.743548387
2006,California,13.1,33195,56646,36021202,0.360135135,0.043660112,10.14728682
2006,Colorado,11.6,4147,52265,4720423,0.421428571,0.057071429,6.918181818
2006,Connecticut,8.3,4911,63352,3517460,0.6,0.046729167,8.713333333
2006,Florida,12.6,26702,45494,18166990,0.477272727,0.048788793,8.794372294
2006,Iowa,11,2082,44560,2982644,0.245785714,0.042923077,9.052631579
2006,Kansas,12.2,2958,45369,2762931,0.3125,0.05245,9.264705882
2006,Kentucky,17,6988,39318,4219239,0.625,0.047205882,13.36258503
2006,Louisiana,19.4,5591,39122,4302665,0.5,0.044072917,12.96981132
2006,Maine,12.7,1063,43472,1323619,0.193333333,0.0395625,8.336535806
2006,Maryland,8,9656,65041,5627367,0.466666667,0.05025,11.43125
2006,Massachusetts,10,9491,59930,6410084,0.42,0.04575,7.754545455
2006,Michigan,13.5,16091,47187,10036081,0.228571429,0.045515625,10.08823529
2006,Minnesota,9.7,4339,54022,5163555,0.171428571,0.045609375,7.3875
2006,Missouri,13.8,7705,42838,5842704,0.44,0.050776316,10.97307692
